"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2006","2006","PC","Percentage","0","Units",,,3.749727,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2007","2007","PC","Percentage","0","Units",,,3.698141,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2008","2008","PC","Percentage","0","Units",,,1.811957,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2009","2009","PC","Percentage","0","Units",,,2.00588,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2010","2010","PC","Percentage","0","Units",,,2.372821,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2011","2011","PC","Percentage","0","Units",,,3.63425,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2012","2012","PC","Percentage","0","Units",,,2.569856,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2013","2013","PC","Percentage","0","Units",,,2.609457,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.421611,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2015","2015","PC","Percentage","0","Units",,,2.765773,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,2.443284,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,5.113129,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,6.207861,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,4.887301,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,3.94375,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,-0.362303,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1976","1976","PC","Percentage","0","Units",,,4.577002,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1977","1977","PC","Percentage","0","Units",,,5.079981,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,-0.210653,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,5.3567,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,1.731485,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,-0.144295,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,2.011254,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,2.973088,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,0.051275,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,2.498679,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,2.301393,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,1.357168,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,3.29588,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1989","1989","PC","Percentage","0","Units",,,3.887075,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1990","1990","PC","Percentage","0","Units",,,4.345642,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,3.441627,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,2.093525,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,0.526809,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,2.402119,"E","Estimated value"
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,2.667984,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1996","1996","PC","Percentage","0","Units",,,2.398314,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1997","1997","PC","Percentage","0","Units",,,2.20502,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1998","1998","PC","Percentage","0","Units",,,3.559967,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1999","1999","PC","Percentage","0","Units",,,3.589988,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2000","2000","PC","Percentage","0","Units",,,3.368408,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2001","2001","PC","Percentage","0","Units",,,1.350516,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2002","2002","PC","Percentage","0","Units",,,1.655855,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2003","2003","PC","Percentage","0","Units",,,0.756157,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2004","2004","PC","Percentage","0","Units",,,2.705743,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2005","2005","PC","Percentage","0","Units",,,2.140683,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2006","2006","PC","Percentage","0","Units",,,3.350831,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2007","2007","PC","Percentage","0","Units",,,3.62151,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2008","2008","PC","Percentage","0","Units",,,1.547264,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2009","2009","PC","Percentage","0","Units",,,-3.799075,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2010","2010","PC","Percentage","0","Units",,,1.928673,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2011","2011","PC","Percentage","0","Units",,,2.808,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2012","2012","PC","Percentage","0","Units",,,0.745756,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2013","2013","PC","Percentage","0","Units",,,0.124224,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.644845,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2015","2015","PC","Percentage","0","Units",,,0.963058,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,1.480731,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,3.753021,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,5.255647,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,6.122328,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,4.199634,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,-1.327,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1976","1976","PC","Percentage","0","Units",,,5.652751,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1977","1977","PC","Percentage","0","Units",,,0.626135,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,2.841913,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,2.341058,"E","Estimated value"
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,4.479501,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,-0.279284,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,0.594987,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,0.311843,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,2.466383,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,1.651793,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,1.822762,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,2.306659,,
